path,1_id,1_name,1_group,1_path,1_web_url,1_visibility,2_id,2_name,2_group,2_path,2_web_url,2_visibility
devops/samples/node,17,Node,devops/samples,devops/samples/node,https://gitlab.fandrade.com.br/devops/samples/node,private,17,Node,devops/samples,devops/samples/node,https://gitlab.fandrade.com.br/devops/samples/node,private
iac/terraform/terraform-aws-gateway,16,Terraform AWS Gateway,iac/terraform,iac/terraform/terraform-aws-gateway,https://gitlab.fandrade.com.br/iac/terraform/terraform-aws-gateway,private,16,Terraform AWS Gateway,iac/terraform,iac/terraform/terraform-aws-gateway,https://gitlab.fandrade.com.br/iac/terraform/terraform-aws-gateway,private
devops/base-images,15,Base Images,devops,devops/base-images,https://gitlab.fandrade.com.br/devops/base-images,private,15,Base Images,devops,devops/base-images,https://gitlab.fandrade.com.br/devops/base-images,private
devops/skopeo,14,Skopeo,devops,devops/skopeo,https://gitlab.fandrade.com.br/devops/skopeo,private,14,Skopeo,devops,devops/skopeo,https://gitlab.fandrade.com.br/devops/skopeo,private
hubstack/hubstack,13,HubStack,hubstack,hubstack/hubstack,https://gitlab.fandrade.com.br/hubstack/hubstack,private,13,HubStack,hubstack,hubstack/hubstack,https://gitlab.fandrade.com.br/hubstack/hubstack,private
hubstack/my-next-app,12,My Next App,hubstack,hubstack/my-next-app,https://gitlab.fandrade.com.br/hubstack/my-next-app,private,12,My Next App,hubstack,hubstack/my-next-app,https://gitlab.fandrade.com.br/hubstack/my-next-app,private
devops/base-repo,11,base-repo,devops,devops/base-repo,https://gitlab.fandrade.com.br/devops/base-repo,private,11,base-repo,devops,devops/base-repo,https://gitlab.fandrade.com.br/devops/base-repo,private
devops/samples/aws-lambda/lib-set-others-python313,10,lib-set-others-python313,devops/samples/aws-lambda,devops/samples/aws-lambda/lib-set-others-python313,https://gitlab.fandrade.com.br/devops/samples/aws-lambda/lib-set-others-python313,private,10,lib-set-others-python313,devops/samples/aws-lambda,devops/samples/aws-lambda/lib-set-others-python313,https://gitlab.fandrade.com.br/devops/samples/aws-lambda/lib-set-others-python313,private
devops/samples/aws-lambda/lib-pandas-python313,9,lib-pandas-python313,devops/samples/aws-lambda,devops/samples/aws-lambda/lib-pandas-python313,https://gitlab.fandrade.com.br/devops/samples/aws-lambda/lib-pandas-python313,private,9,lib-pandas-python313,devops/samples/aws-lambda,devops/samples/aws-lambda/lib-pandas-python313,https://gitlab.fandrade.com.br/devops/samples/aws-lambda/lib-pandas-python313,private
devops/samples/aws-lambda/apl-lambda-python313-layers-jks,8,apl-lambda-python313-layers-jks,devops/samples/aws-lambda,devops/samples/aws-lambda/apl-lambda-python313-layers-jks,https://gitlab.fandrade.com.br/devops/samples/aws-lambda/apl-lambda-python313-layers-jks,private,8,apl-lambda-python313-layers-jks,devops/samples/aws-lambda,devops/samples/aws-lambda/apl-lambda-python313-layers-jks,https://gitlab.fandrade.com.br/devops/samples/aws-lambda/apl-lambda-python313-layers-jks,private
devops/samples/aws-lambda/apl-lambda-python313-jks,7,apl-lambda-python313-jks,devops/samples/aws-lambda,devops/samples/aws-lambda/apl-lambda-python313-jks,https://gitlab.fandrade.com.br/devops/samples/aws-lambda/apl-lambda-python313-jks,private,7,apl-lambda-python313-jks,devops/samples/aws-lambda,devops/samples/aws-lambda/apl-lambda-python313-jks,https://gitlab.fandrade.com.br/devops/samples/aws-lambda/apl-lambda-python313-jks,private
devops/samples/azure-functions/apl-function-jks,6,apl-function-jks,devops/samples/azure-functions,devops/samples/azure-functions/apl-function-jks,https://gitlab.fandrade.com.br/devops/samples/azure-functions/apl-function-jks,private,6,apl-function-jks,devops/samples/azure-functions,devops/samples/azure-functions/apl-function-jks,https://gitlab.fandrade.com.br/devops/samples/azure-functions/apl-function-jks,private
iac/azure/apim,5,APIM,iac/azure,iac/azure/apim,https://gitlab.fandrade.com.br/iac/azure/apim,private,5,APIM,iac/azure,iac/azure/apim,https://gitlab.fandrade.com.br/iac/azure/apim,private
iac/terraform/terraform-aws-vpc,4,Terraform AWS VPC,iac/terraform,iac/terraform/terraform-aws-vpc,https://gitlab.fandrade.com.br/iac/terraform/terraform-aws-vpc,private,4,Terraform AWS VPC,iac/terraform,iac/terraform/terraform-aws-vpc,https://gitlab.fandrade.com.br/iac/terraform/terraform-aws-vpc,private
iac/terraform/terraform-aws-eks,3,Terraform AWS EKS,iac/terraform,iac/terraform/terraform-aws-eks,https://gitlab.fandrade.com.br/iac/terraform/terraform-aws-eks,private,3,Terraform AWS EKS,iac/terraform,iac/terraform/terraform-aws-eks,https://gitlab.fandrade.com.br/iac/terraform/terraform-aws-eks,private
devops/samples/aws-lambda/apl-lambda-hello-jks,2,apl-lambda-hello-jks,devops/samples/aws-lambda,devops/samples/aws-lambda/apl-lambda-hello-jks,https://gitlab.fandrade.com.br/devops/samples/aws-lambda/apl-lambda-hello-jks,private,2,apl-lambda-hello-jks,devops/samples/aws-lambda,devops/samples/aws-lambda/apl-lambda-hello-jks,https://gitlab.fandrade.com.br/devops/samples/aws-lambda/apl-lambda-hello-jks,private
iac/terraform/terraform-aws-lambda,1,Terraform AWS Lambda,iac/terraform,iac/terraform/terraform-aws-lambda,https://gitlab.fandrade.com.br/iac/terraform/terraform-aws-lambda,private,1,Terraform AWS Lambda,iac/terraform,iac/terraform/terraform-aws-lambda,https://gitlab.fandrade.com.br/iac/terraform/terraform-aws-lambda,private
